ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
179;F;2;828;837;759;731;328;445;418;745,00;726,55;0,14;4,13;0,00;3,26;0,00;4,00;4,97
180;M;1;622;627;551;679;379;0;503;615,00;612,30;0,52;4,13;0,00;3,36;0,00;5,52;4,18
181;M;1;622;627;551;679;379;0;503;615,00;612,30;0,52;4,13;0,00;3,36;0,00;5,52;4,18
182;M;2;886;932;676;688;466;505;0;682,00;750,40;0,24;4,16;0,00;3,63;5,93;5,40;0,00
183;M;2;900;925;600;717;330;632;0;658,50;758,15;0,52;4,17;0,00;5,10;0,00;0,00;0,00
184;M;2;799;817;582;844;498;0;498;713,00;753,30;0,19;4,18;0,00;4,45;0,00;4,60;3,67
185;F;2;886;925;600;657;408;495;515;628,50;727,95;0,38;4,18;0,00;4,59;0,00;5,10;4,80
186;M;2;779;797;788;785;413;0;519;786,50;743,10;0,38;4,19;0,00;2,24;5,70;4,00;0,00
187;M;2;757;796;802;731;408;0;585;766,50;729,45;0,48;4,20;0,00;4,46;0,00;5,26;4,20
188;M;2;686;723;679;681;381;489;492;680,00;660,00;0,33;4,20;0,00;2,75;0,00;1,90;1,00
189;M;2;686;723;679;681;381;489;492;680,00;660,00;0,33;4,20;0,00;2,75;0,00;1,90;1,00
190;F;2;779;815;689;642;379;0;535;665,50;688,45;0,31;4,20;0,00;2,53;0,00;5,38;5,13
191;M;3;671;688;759;746;395;0;569;752,50;687,15;0,38;4,20;0,00;4,98;0,00;4,90;4,20
192;M;1;742;761;754;623;399;0;515;688,50;667,40;0,12;4,21;0,00;4,45;0,00;4,50;4,50
193;M;1;742;761;754;623;399;0;515;688,50;667,40;0,12;4,21;0,00;4,45;0,00;4,50;4,50
194;M;3;779;789;754;746;395;0;617;750,00;732,55;0,26;4,21;0,00;5,28;0,00;4,97;5,00
195;F;2;757;843;611;731;507;0;550;671,00;725,90;0,36;4,21;0,00;3,00;0,00;2,60;2,60
196;M;2;628;630;576;688;309;489;447;632,00;614,55;0,24;4,22;0,00;4,82;0,00;4,00;3,00
197;M;2;742;752;699;761;408;609;0;730,00;717,35;0,31;4,22;0,00;5,25;0,00;3,00;3,80
198;M;3;870;899;788;688;487;0;573;738,00;757,95;0,31;4,22;0,00;2,68;4,40;3,00;0,00
199;M;1;613;613;816;679;444;591;478;747,50;645,75;0,33;4,22;0,00;4,60;0,00;1,90;1,21
200;M;1;613;613;816;679;444;591;478;747,50;645,75;0,33;4,22;0,00;4,60;0,00;1,90;1,21
201;M;2;907;948;591;680;381;0;426;635,50;733,85;0,21;4,23;0,00;4,42;0,00;4,60;4,60
202;M;3;587;587;689;753;475;0;633;721,00;654,30;0,36;4,24;0,00;5,37;0,00;3,90;4,80
203;M;2;636;639;565;612;449;0;412;588,50;589,65;0,52;4,25;0,00;4,98;0,00;1,20;2,00
204;M;1;842;843;701;588;369;550;0;644,50;686,45;0,10;4,26;0,00;4,05;0,00;0,00;0,00
205;M;2;994;1000;641;616;330;540;0;628,50;749,60;0,38;4,28;0,00;2,98;0,00;5,05;4,70
206;M;2;823;877;738;705;434;591;0;721,50;746,75;0,12;4,28;0,00;4,94;0,00;4,91;3,80
207;F;2;886;897;454;607;379;445;372;530,50;679,00;0,14;4,30;0,00;5,40;0,00;4,96;5,02
208;M;2;765;793;620;761;498;0;508;690,50;718,45;0,21;4,30;0,00;4,46;0,00;4,93;4,30
209;F;2;928;955;714;585;434;0;497;649,50;726,85;0,29;4,30;0,00;5,10;0,00;5,74;5,20
210;F;2;699;708;679;761;434;0;584;720,00;696,65;0,52;4,30;0,00;5,68;0,00;0,00;5,07
211;M;3;709;775;696;665;381;496;504;680,50;675,20;0,31;4,31;0,00;4,10;0,00;4,40;4,00
212;M;3;709;775;696;665;381;496;504;680,50;675,20;0,31;4,31;0,00;4,10;0,00;4,40;4,00
213;M;2;793;818;491;861;452;460;0;676,00;743,75;0,48;4,31;0,00;4,67;0,00;4,50;4,00
214;M;3;699;699;491;680;348;454;0;585,50;629,50;0,29;4,31;0,00;5,00;0,00;5,24;5,20
215;F;2;722;727;738;669;450;502;500;703,50;670,95;0,29;4,31;0,00;4,52;0,00;4,60;4,60
216;M;2;519;522;816;631;410;574;501;723,50;588,85;0,24;4,31;0,00;4,30;0,00;4,70;4,80
217;M;2;519;522;816;631;410;574;501;723,50;588,85;0,24;4,31;0,00;4,30;0,00;4,70;4,80
218;M;2;736;766;590;637;351;0;502;613,50;653,10;0,07;4,33;0,00;4,99;0,00;4,96;5,24
219;M;2;736;766;590;637;351;0;502;613,50;653,10;0,07;4,33;0,00;4,99;0,00;4,96;5,24
220;F;2;799;880;711;600;346;526;479;655,50;694,90;0,24;4,34;0,00;3,58;4,98;4,00;0,00
